GEO_id,GEO_id2,Label,Med_income
1500000US170310209011,170310209011,"Block Group 1, Census Tract 209.01, Cook County, Illinois",40017
1500000US170310209012,170310209012,"Block Group 2, Census Tract 209.01, Cook County, Illinois",30677
1500000US170310209013,170310209013,"Block Group 3, Census Tract 209.01, Cook County, Illinois",42404
1500000US170310209021,170310209021,"Block Group 1, Census Tract 209.02, Cook County, Illinois",26932
1500000US170310209022,170310209022,"Block Group 2, Census Tract 209.02, Cook County, Illinois",36250
1500000US170310301011,170310301011,"Block Group 1, Census Tract 301.01, Cook County, Illinois",29590
1500000US170310301012,170310301012,"Block Group 2, Census Tract 301.01, Cook County, Illinois",41583
1500000US170310301013,170310301013,"Block Group 3, Census Tract 301.01, Cook County, Illinois",28750
1500000US170310301014,170310301014,"Block Group 4, Census Tract 301.01, Cook County, Illinois",69191
1500000US170310301021,170310301021,"Block Group 1, Census Tract 301.02, Cook County, Illinois",63241
1500000US170310301022,170310301022,"Block Group 2, Census Tract 301.02, Cook County, Illinois",26546
1500000US170310301023,170310301023,"Block Group 3, Census Tract 301.02, Cook County, Illinois",51500
1500000US170310301032,170310301032,"Block Group 2, Census Tract 301.03, Cook County, Illinois",37500
1500000US170310301041,170310301041,"Block Group 1, Census Tract 301.04, Cook County, Illinois",41165
1500000US170310302001,170310302001,"Block Group 1, Census Tract 302, Cook County, Illinois",52404
1500000US170310302002,170310302002,"Block Group 2, Census Tract 302, Cook County, Illinois",74485
1500000US170310302003,170310302003,"Block Group 3, Census Tract 302, Cook County, Illinois",107411
1500000US170310302004,170310302004,"Block Group 4, Census Tract 302, Cook County, Illinois",54107
1500000US170310303001,170310303001,"Block Group 1, Census Tract 303, Cook County, Illinois",33214
1500000US170310303002,170310303002,"Block Group 2, Census Tract 303, Cook County, Illinois",43409
1500000US170310304001,170310304001,"Block Group 1, Census Tract 304, Cook County, Illinois",28636
1500000US170310304002,170310304002,"Block Group 2, Census Tract 304, Cook County, Illinois",55694
1500000US170310305001,170310305001,"Block Group 1, Census Tract 305, Cook County, Illinois",71786
1500000US170310305002,170310305002,"Block Group 2, Census Tract 305, Cook County, Illinois",63958
1500000US170310305003,170310305003,"Block Group 3, Census Tract 305, Cook County, Illinois",56286
1500000US170310305004,170310305004,"Block Group 4, Census Tract 305, Cook County, Illinois",72981
1500000US170310306011,170310306011,"Block Group 1, Census Tract 306.01, Cook County, Illinois",34034
1500000US170310306012,170310306012,"Block Group 2, Census Tract 306.01, Cook County, Illinois",38889
1500000US170310306013,170310306013,"Block Group 3, Census Tract 306.01, Cook County, Illinois",39712
1500000US170310306031,170310306031,"Block Group 1, Census Tract 306.03, Cook County, Illinois",28964
1500000US170310306032,170310306032,"Block Group 2, Census Tract 306.03, Cook County, Illinois",28214
1500000US170310306041,170310306041,"Block Group 1, Census Tract 306.04, Cook County, Illinois",43241
1500000US170310306042,170310306042,"Block Group 2, Census Tract 306.04, Cook County, Illinois",42083
1500000US170310306043,170310306043,"Block Group 3, Census Tract 306.04, Cook County, Illinois",13594
1500000US170310307011,170310307011,"Block Group 1, Census Tract 307.01, Cook County, Illinois",33504
1500000US170310307021,170310307021,"Block Group 1, Census Tract 307.02, Cook County, Illinois",49554
1500000US170310307022,170310307022,"Block Group 2, Census Tract 307.02, Cook County, Illinois",45735
1500000US170310307031,170310307031,"Block Group 1, Census Tract 307.03, Cook County, Illinois",42159
1500000US170310307032,170310307032,"Block Group 2, Census Tract 307.03, Cook County, Illinois",16510
1500000US170310307033,170310307033,"Block Group 3, Census Tract 307.03, Cook County, Illinois",57656
1500000US170310307061,170310307061,"Block Group 1, Census Tract 307.06, Cook County, Illinois",41173
1500000US170310307062,170310307062,"Block Group 2, Census Tract 307.06, Cook County, Illinois",27226
1500000US170310308001,170310308001,"Block Group 1, Census Tract 308, Cook County, Illinois",52143
1500000US170310308002,170310308002,"Block Group 2, Census Tract 308, Cook County, Illinois",90938
1500000US170310308003,170310308003,"Block Group 3, Census Tract 308, Cook County, Illinois",63472
1500000US170310308004,170310308004,"Block Group 4, Census Tract 308, Cook County, Illinois",59909
1500000US170310309001,170310309001,"Block Group 1, Census Tract 309, Cook County, Illinois",61000
